contract_id,title,summary,termination_clause,confidentiality_clause,liability_clause,status,error
contract_0001,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"This is a Distributor Agreement between Electric City Corp. and Electric City of Illinois LLC, outlining the terms and conditions for the distribution of Electric City's energy efficiency device, the Energy Saver, within the State of Illinois. Key obligations include the Distributor's exclusive right to sell and distribute the Products, the Company's obligation to sell and deliver Products to the Distributor, and the Distributor's obligation to promote the distribution, sales, and use of Products. Notable risks include the Distributor's potential liability for failure to meet minimum purchase expectations, and the Company's potential liability for failure to deliver Products on time, although liability for consequential or liquidated damages is limited unless specifically agreed upon in writing.","Either party may terminate this Distributor Agreement upon 10 years, with the option to renew for up to another 10 years.",Not specified in this contract.,Neither party is liable for consequential or liquidated damages pertaining to late delivery unless the other party specifically acknowledges and agrees in writing to the same.,success,
contract_0002,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","This is a Promotion and Distribution Agreement between Whitesmoke Inc. and Google Inc., effective as of August 1, 2011. Key obligations include Google granting Whitesmoke a license to distribute Google products, and Whitesmoke agreeing to keep the products confidential and not to modify or reverse engineer them. Notable risks include the potential for termination of the agreement and the limitation of liability for indirect or consequential damages, although this clause is not explicitly stated.","The agreement may be terminated by either party upon 30 days written notice, or upon the earlier of the end of the two-year period from the Effective Date or the last day of the calendar month within which the Maximum Distribution Commitment is reached.","Confidential treatment has been requested for certain portions of the document, and each party must keep proprietary information confidential.","Neither party is liable for indirect or consequential damages, but this clause is not explicitly stated in the contract.",success,
contract_0003,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"This is a supply contract between Shenzhen LOHAS Supply Chain Management Co., Ltd. and the seller, with key obligations including the seller's guarantee of quality, shipment, and payment terms. Notable risks include the seller's liability for damage and loss due to improper packing, and the buyer's right to cancel the contract in case of late delivery or force majeure. The contract is governed by the law of the People's Republic of China and the United Nations Convention on Contract for the International Sale of Goods.","The contract is valid for 5 years, but no specific termination clause is mentioned.",Not specified in this contract.,"The seller is liable for any damage and loss of the commodity due to improper packing, and any damage attributable to inadequate or improper protective measures taken by the seller.",success,
contract_0004,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"This is a web site hosting agreement between Centrack International and i-on interactive, where i-on provides hosting services for Centrack's web site, including connectivity, hosting computer, and software maintenance, for a recurring monthly fee of $450. The Customer is responsible for all content, customer support, marketing, and security of the Hosted Site. Notable risks include data loss, interruptions in service, and liability limitations.",Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice.,Not specified in this contract.,i-on's liability for damages to the Customer for any cause whatsoever shall be limited to one (1) month's fees and the remaining portion of any prepaid fees.,success,
contract_0005,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,"This is a Joint Filing Agreement between the undersigned parties, primarily obligating them to jointly prepare and file Schedule 13G or Schedule 13D with regulatory authorities, and to ensure the completeness and accuracy of their respective information. Notable risks include potential inaccuracies in the information provided by other parties, which may not be subject to verification.",Not specified in this contract.,Not specified in this contract.,"Each party is responsible for the completeness and accuracy of their own information, but not for the accuracy of the other party's information.",success,
contract_0006,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"This is an endorsement agreement between professional golfer TOM WATSON and ADAMS GOLF, LTD. Key obligations include CONSULTANT'S exclusive use of ADAMS GOLF PRODUCT, promotion of ADAMS GOLF PRODUCT, and cooperation with ADAMS GOLF in product design and testing. Notable risks include CONSULTANT'S potential repayment of base compensation if he fails to achieve a satisfactory record of play in a minimum number of professional golf association events, and ADAMS GOLF's right to terminate the agreement if CONSULTANT engages in conduct that materially reduces or impairs the value of his endorsement.",Either party may terminate this Agreement upon written notice within 90 days of ADAMS GOLF's senior management becoming aware of conduct giving rise to termination.,"Confidential information and material have been redacted and filed separately with the Commission, and each party must keep proprietary information confidential.","CONSULTANT agrees to protect, indemnify, and hold ADAMS GOLF harmless from any liability, claims, or damages resulting from a breach of any covenant or representation by CONSULTANT.",success,
contract_0007,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","This is a consulting agreement between Kiromic, Inc. and Gianluca Rotino, where Rotino provides consulting services in exchange for compensation. Key obligations include confidentiality, ownership of inventions, and reporting progress. Notable risks include Consultant's potential conflicts of interest and obligations to third parties, as well as the indemnification requirement.",Either party may terminate this Consulting Agreement upon prior written notice to the other party.,"Each party must keep proprietary information confidential, with certain exceptions for information already known to the Consultant or publicly disclosed.","Neither party is liable for indirect or consequential damages, but Consultant must indemnify Company against claims arising from Consultant's violation of third-party rights.",success,
contract_0008,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","This is an amendment and termination of a joint venture agreement between Veoneer Parties and Nissin Parties, primarily affecting the termination of the agreement with respect to Veoneer Parties' involvement in VNBJ and VNBZ. Key obligations include the Nissin Parties' agreement to indemnify Directors and Officers of VNBJ and VNBZ for liabilities arising prior to the VNBJ Closing or the VNBZ Closing. Notable risks include the potential for continued liability for the Veoneer Parties and the Nissin Parties for breaches of the joint venture agreement prior to the termination.",The joint venture agreement will terminate in its entirety with respect to the Veoneer Parties upon the later of the VNBJ Closing and the VNBZ Closing.,Not specified in this contract.,"The Veoneer Parties and the Nissin Parties will remain liable for the breach of any representations, warranties, covenants, or agreements set forth in the joint venture agreement that arise prior to the VNBJ Closing or the VNBZ Closing.",success,
contract_0009,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"This is a Co-Promotion Agreement between Dova Pharmaceuticals, Inc. and Valeant Pharmaceuticals North America LLC, dated September 26, 2018, where the parties collaborate on promotional activities for a pharmaceutical product in the Territory. Key obligations include Dova's responsibility for regulatory, safety, and surveillance matters, while Valeant is responsible for conducting promotional activities. Notable risks include potential liability for breaches of confidentiality or intellectual property rights, and compliance with applicable laws and regulations.","Either party may terminate this Co-Promotion Agreement upon 30 days written notice, subject to certain conditions.","Each party must keep confidential all proprietary information, including trade secrets and know-how, disclosed by the other party.","Neither party is liable for indirect or consequential damages, except for breaches of confidentiality or intellectual property rights.",success,
contract_0010,"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ","This is an amended and restated strategic licensing, distribution, and marketing agreement between Pacira Pharmaceuticals, Inc. and EKR Therapeutics, Inc. Key obligations include EKR's exclusive right to sell, offer to sell, distribute, and market the Product in the Territory, and PPI's obligation to provide marketing authorizations and transfer title to manufacturing equipment. Notable risks include the parties' liability for damages, including indirect and consequential damages, except in cases of gross negligence or willful misconduct. The agreement also includes provisions for confidentiality, termination, and dispute resolution.","Either party may terminate this Agreement upon 30 days written notice, subject to certain conditions and obligations.","Each party must keep confidential information, data, and materials disclosed by the other party or its affiliates, excluding information that becomes public or is already in its possession.","Neither party is liable for indirect or consequential damages, except in cases of gross negligence or willful misconduct.",success,
